frame,object_name,yolo_confidence,depth_ft,used_vlm,output_text,latency_ms,direction
1703,person,0.269,27.72,0,[FAST MODE - HIGH CONF],141.99,right
1704,person,0.291,28.07,0,[FAST MODE - HIGH CONF],142.62,left
1705,person,0.253,27.58,0,[FAST MODE - HIGH CONF],143.73,left
1706,person,0.255,26.86,0,[FAST MODE - HIGH CONF],141.5,left
1707,person,0.257,28.5,0,[FAST MODE - HIGH CONF],152.72,left
1708,person,0.563,28.37,0,[FAST MODE - HIGH CONF],164.49,left
1709,person,0.426,27.95,0,[FAST MODE - HIGH CONF],167.64,left
1710,person,0.253,27.93,0,[FAST MODE - HIGH CONF],163.99,left
1711,person,0.294,28.11,0,[FAST MODE - HIGH CONF],177.0,left
1712,person,0.363,27.21,0,[FAST MODE - HIGH CONF],187.74,left
1713,person,0.253,26.64,0,[FAST MODE - HIGH CONF],169.66,left
1714,person,0.27,26.79,0,[FAST MODE - HIGH CONF],160.15,left
1715,person,0.622,25.94,0,[FAST MODE - HIGH CONF],162.68,left
1716,person,0.265,27.07,0,[FAST MODE - HIGH CONF],151.15,left
1717,person,0.276,26.81,0,[FAST MODE - HIGH CONF],159.7,left
1718,person,0.289,27.55,0,[FAST MODE - HIGH CONF],155.33,left
1719,person,0.264,27.58,0,[FAST MODE - HIGH CONF],161.09,left
1720,person,0.635,28.3,0,[FAST MODE - HIGH CONF],149.31,left
1721,person,0.256,28.49,0,[FAST MODE - HIGH CONF],158.71,right
1722,person,0.253,28.43,0,[FAST MODE - HIGH CONF],153.94,left
1723,person,0.252,28.39,0,[FAST MODE - HIGH CONF],141.5,left
1724,car,0.269,28.24,0,[FAST MODE - HIGH CONF],156.77,left
1725,person,0.252,29.17,0,[FAST MODE - HIGH CONF],176.06,left
1726,person,0.321,28.06,0,[FAST MODE - HIGH CONF],185.16,right
1727,person,0.311,28.69,0,[FAST MODE - HIGH CONF],206.66,right
1728,person,0.271,28.65,0,[FAST MODE - HIGH CONF],166.85,right
1729,person,0.354,28.34,0,[FAST MODE - HIGH CONF],163.7,right
1730,person,0.289,28.07,0,[FAST MODE - HIGH CONF],189.0,right
1731,person,0.263,27.31,0,[FAST MODE - HIGH CONF],190.55,left
1732,person,0.269,27.87,0,[FAST MODE - HIGH CONF],156.43,left
1733,person,0.276,27.18,0,[FAST MODE - HIGH CONF],170.75,left
1734,person,0.255,27.32,0,[FAST MODE - HIGH CONF],158.0,left
1735,person,0.251,28.03,0,[FAST MODE - HIGH CONF],164.44,left
1736,person,0.25,27.08,0,[FAST MODE - HIGH CONF],180.18,left
1737,,,,0,,157.41,none
